row_number,transction_year,transction_month,listing_province_name_en,listing_province_name_th,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_asking_price_sqm,day
1543,2021,1,BANGKOK,กรุงเทพมหานคร,คันนายาว,KHAN NA YAO,คอนโด,Condo,31,58836,2022-09-05
255,2020,11,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,41,57602,2022-09-05
1091,2020,7,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,181,148407,2022-09-05
1445,2021,2,NONTHABURI,นนทบุรี,บางใหญ่,BANG YAI,คอนโด,Condo,13,84587,2022-09-05
1644,2020,7,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,18,66141,2022-09-05
1178,2021,5,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,501,90583,2022-09-05
829,2021,10,BANGKOK,กรุงเทพมหานคร,ธนบุรี,THON BURI,คอนโด,Condo,389,93840,2022-09-05
2065,2020,12,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,33,30770,2022-09-05
723,2020,8,BANGKOK,กรุงเทพมหานคร,คลองสาน,KHLONG SAN,คอนโด,Condo,88,103225,2022-09-05
2024,2021,8,SAMUT PRAKAN,สมุทรปราการ,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,54,32728,2022-09-05
678,2020,2,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,34,85392,2022-09-05
2170,2020,4,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,บ้าน,Detached House,21,25380,2022-09-05
286,2021,4,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,1381,106091,2022-09-05
1681,2021,12,SAMUT PRAKAN,สมุทรปราการ,พระประแดง,PHRA PRADAENG,คอนโด,Condo,17,71968,2022-09-05
700,2021,8,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,3583,160053,2022-09-05
367,2019,3,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,49,79506,2022-09-05
1436,2020,9,BANGKOK,กรุงเทพมหานคร,ภาษีเจริญ,PHASI CHAROEN,คอนโด,Condo,53,64770,2022-09-05
102,2019,12,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,คอนโด,Condo,608,102704,2022-09-05
964,2019,10,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,2527,155092,2022-09-05
1944,2021,4,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,15,33712,2022-09-05
2021,2021,1,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,ทาวน์โฮม,Townhome,17,32392,2022-09-05
1952,2019,11,BANGKOK,กรุงเทพมหานคร,ทุ่งครุ,THUNG KHRU,ทาวน์โฮม,Townhome,13,23483,2022-09-05
948,2021,1,NONTHABURI,นนทบุรี,ปากเกร็ด,PAK KRET,คอนโด,Condo,291,74366,2022-09-05
1916,2021,11,BANGKOK,กรุงเทพมหานคร,ดอนเมือง,DON MUEANG,บ้าน,Detached House,11,46321,2022-09-05
494,2020,6,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,51,92864,2022-09-05
1593,2019,2,BANGKOK,กรุงเทพมหานคร,จอมทอง,CHOM THONG,คอนโด,Condo,22,82455,2022-09-05
1059,2019,1,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,98,108366,2022-09-05
1713,2022,1,PATHUM THANI,ปทุมธานี,ลำลูกกา,LAM LUK KA,คอนโด,Condo,11,62051,2022-09-05
1172,2019,4,BANGKOK,กรุงเทพมหานคร,ราษฎร์บูรณะ,RAT BURANA,คอนโด,Condo,35,71439,2022-09-05
1052,2021,8,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,คอนโด,Condo,267,83513,2022-09-05
563,2021,12,BANGKOK,กรุงเทพมหานคร,บึงกุ่ม,BUENG KUM,คอนโด,Condo,83,62327,2022-09-05
1613,2020,12,NONTHABURI,นนทบุรี,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,491,62998,2022-09-05
